Central Pollution Control Board,,,,
LIST OF CAAQMS STATIONS              Date:14-04-2026,,,,
,,,,
S.No.,State,City,Station Name,Status
346,,Pimpri-Chinchwad,"Alandi, Pune - IITM",Inactive
347,,,"Bhosari, Pune - IITM",Live
348,,,"Bhumkar Nagar, Pune - IITM",Live
349,,,"Gavalinagar, Pimpri Chinchwad - MPCB",Live
350,,,"Park Street Wakad, Pimpri Chinchwad - MPCB",Live
351,,,"Savta Mali Nagar, Pimpri-Chinchwad - IITM",Live
352,,,"Thergaon, Pimpri Chinchwad - MPCB",Live
353,,,"Transport Nagar-Nigdi, Pune - IITM",Live
354,,Pune,"Dhankawadi, Pune - IITM",Live
355,,,"Hadapsar, Pune - IITM",Live
356,,,"Karve Road, Pune - MPCB",Inactive
357,,,"Katraj Dairy, Pune - MPCB",Live
358,,,"MIT-Kothrud, Pune - IITM",Inactive
359,,,"Mhada Colony, Pune - IITM",Live
360,,,"Panchawati_Pashan, Pune - IITM",Live
361,,,"Revenue Colony-Shivajinagar, Pune - IITM",Live
362,,,"Savitribai Phule Pune University, Pune - MPCB",Inactive
363,,Sangli,"Vijay Nagar, Sangli - MPCB",Live
364,,Solapur,"Dnyaneshwar Nagar, Solapur - MPCB",Delay
365,,,"Ratandeep Housing Society, Solapur - MPCB",Live
366,,,"Solapur, Solapur - MPCB",Inactive
367,,Thane,"Kasarvadavali, Thane - MPCB",Live
368,,,"Upvan Fort, Thane - MPCB",Live
369,,Ulhasnagar,"Sidhi Vinayak Nagar, Ulhasnagar - MPCB",Live
370,,,"Vithalwadi, Ulhasnagar - MPCB",Live
371,,Virar,"Bolinj, Virar - MPCB",Live
372,Manipur,Imphal,"DM College of Science, Imphal - Manipur PCB",Inactive
373,,,"Manipur University, Imphal - Manipur PCB",Inactive
374,Meghalaya ,Byrnihat ,"15th Mile-Nongthymmai, Byrnihat - Meghalaya PCB",Live
375,,Shillong,"JN Stadium, Shillong - Meghalaya PCB",Inactive
376,,,"Lumpyngngad, Shillong - Meghalaya PCB",Live
377,Mizoram,Aizawl,"Sikulpuikawn, Aizawl - Mizoram PCB",Live
378,Nagaland,Kohima,"PWD Junction, Kohima - NPCB",Live
379,Odisha,Angul,"Hakimapada, Angul - OSPCB",Live
380,,Balasore,"Kalidaspur, Balasore - OSPCB",Live
381,,Barbil,"Forest Office, Barbil - OSPCB",Live
382,,Baripada,"Meher Colony, Baripada - OSPCB",Live
383,,Bhubaneswar,"Lingraj Mandir, Bhubaneswar - OSPCB",Live
384,,,"Patia, Bhubaneswar - OSPCB",Live
385,,Bileipada,"Tata Township, Bileipada - OSPCB",Live
386,,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB",Live
387,,Byasanagar,"Ferro Chrome Colony, Byasanagar - OSPCB",Live
388,,Cuttack,"CDA Area, Cuttack - OSPCB",Live
389,,Keonjhar,"Jagamohanpur, Keonjhar - OSPCB",Live
390,,Nayagarh,"Dabuna, Nayagarh - OSPCB",Live
391,,Rairangpur,"Divisional Forest Office, Rairangpur - OSPCB",Live
392,,Rourkela,"Fertilizer Township, Rourkela - OSPCB",Live
393,,,"Raghunathpali, Rourkela - OSPCB",Live
394,,,"Sector-2, Rourkela - OSPCB",Live
395,,Suakati,"OMC Colony, Suakati - OSPCB",Live
396,,Talcher,"Talcher Coalfields,Talcher - OSPCB",Live
397,,Tensa,"Barsua Iron Ore Mines, Tensa - OSPCB",Live
398,Puducherry,Puducherry,"Jawahar Nagar, Puducherry - PPCC",Live
399,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",Delay
400,,Bathinda,"Hardev Nagar, Bathinda - PPCB",Live
401,,Jalandhar,"Civil Line, Jalandhar - PPCB",Live
402,,Khanna,"Kalal Majra, Khanna - PPCB",Live
403,,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB",Live
404,,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",Live
405,,Patiala,"Model Town, Patiala - PPCB",Live
406,,Rupnagar,"Ratanpura, Rupnagar - Ambuja Cements",Live
407,Rajasthan,Ajmer,"Civil Lines,  Ajmer - RSPCB",Live
408,,Alwar,"Moti Doongri, Alwar - RSPCB",Live
409,,Banswara,"Rati Talai, Banswara - RSPCB",Live
410,,Baran,"Bamboliya, Baran - RSPCB",Live
411,,Barmer,"Railway Colony, Barmer - RSPCB",Live
412,,Bharatpur,"Krishna Nagar, Bharatpur - RSPCB",Live
413,,Bhilwara,"Pratap Nagar, Bhilwara - RSPCB",Live
414,,Bhiwadi,"RIICO Ind. Area III, Bhiwadi - RSPCB",Live
415,,,"Vasundhara Nagar_UIT, Bhiwadi - RSPCB",Live
416,,Bikaner,"MM Ground, Bikaner - RSPCB",Live
417,,Bundi,"New Colony, Bundi - RSPCB",Live
418,,Chittorgarh,"Shastri Nagar, Chittorgarh - RSPCB",Live
419,,Churu,"Subash Chowk, Churu - RSPCB",Live
420,,Dausa,"Khatikan Mohalla, Dausa - RSPCB",Live
421,,Dholpur,"Raja Ganj, Dholpur - RSPCB",Live
422,,Dungarpur,"Bhoiwada, Dungarpur - RSPCB",Live
423,,Hanumangarh,"Housing Board, Hanumangarh - RSPCB",Delay
424,,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",Live
425,,,"Mansarovar Sector-12, Jaipur - RSPCB",Live
426,,,"Police Commissionerate, Jaipur - RSPCB",Live
427,,,"RIICO Sitapura, Jaipur - RSPCB",Live
428,,,"Sector-2 Murlipura, Jaipur - RSPCB",Live
429,,,"Shastri Nagar, Jaipur - RSPCB",Live
430,,Jaisalmer,"Sadar Bazar, Jaisalmer - RSPCB",Live
431,,Jalore,"Mudtra Sili, Jalore - RSPCB",Live
432,,Jhalawar,"Rajlaxmi Nagar, Jhalawar - RSPCB",Live
433,,Jhunjhunu,"Indra Nagar, Jhunjhunu - RSPCB",Live
434,,Jodhpur,"Collectorate, Jodhpur - RSPCB",Live
435,,,"Digari Kalan, Jodhpur - RSPCB",Live
436,,,"Jhalamand, Jodhpur - RSPCB",Live
